"Word"	"Frequency"
"alluding"	2
"allure"	3
"allusion"	1
"ally"	8
"alma"	2
"alman"	4
"almanac"	4
"almane"	7
"almond"	3
"almonds"	2
"almost"	153
"aloft"	1
"alone"	62
"along"	136
"alongi"	4
"alongside"	13
"aloof"	2
"aloud"	4
"already"	156
"also"	692
"alstott"	2
"altamont"	1
"altamonte"	1
"altar"	4
"alter"	11
"alteration"	1
"altercation"	1
"altered"	4
"altering"	3
"alternate"	1
"alternately"	1
"alternating"	1
"alternative"	21
"alternatives"	5
"alters"	1
"although"	101
"altidore"	3
"altitude"	1
"altogether"	7
"altos"	1
"altruistic"	1
"altschuler"	1
"alum"	1
"aluminum"	3
"alumni"	2
"alvarado"	4
"alvaro"	3
"alvin"	2
"always"	154
"alzheimer"	2
"am"	80
"amado"	1
"amalgam"	1
"amalie"	1
"amanda"	1
"amandi"	2
"amani"	8
"amano"	1
"amare"	2
"amaryllis"	1
"amassed"	1
"amassing"	1
"amateur"	8
"amateurs"	3
"amati"	1
"amato"	6
"amazed"	6
"amazement"	1
"amazing"	21
"amazingly"	3
"amazon"	2
"amazonia"	1
"amazonian"	1
"amazonico"	2
"ambassador"	5
"amber"	2
"ambien"	2
"ambience"	1
"ambiguity"	3
"ambiguous"	3
"ambition"	6
"ambitions"	4
"ambitious"	18
"ambivalence"	4
"ambivalent"	2
"ambridge"	1
"ambrose"	1
"ambulance"	1
"ambulances"	4
"amc"	1
"ame"	4
"amelioration"	1
"amen"	2
"amenable"	1
"amend"	5
"amendment"	12
"amendments"	8
"amenities"	1
"amens"	1
"america"	173
"american"	418
"americanism"	1
"americanization"	1
"americanness"	1
"americans"	132
"americas"	3
"amethyst"	3
"amherst"	1
"ami"	4
"amiable"	1
"amid"	22
"amigos"	2
"amino"	2
"amitie"	2
"amityville"	2
"ammunition"	6
"amnesia"	2
"amnesty"	1
"amok"	1
"among"	239
"amongst"	1
"amore"	1
"amorim"	2
"amorphous"	1
"amount"	53
"amounted"	2
"amounting"	2
"amounts"	12
"amp"	206
"amphetamines"	2
"amphibians"	1
"amphibious"	1
"amphitheatre"	3
"ample"	7
"amplified"	2
"amplify"	1
"amputation"	2
"amputee"	2
"amrozi"	1
"amrullah"	1
"ams"	5
"amsterdam"	4
"amulets"	1
"amused"	1
"amusement"	1
"amusements"	10
"amusing"	5
"amy"	2
"an"	2044
"ana"	2
"anachronistic"	1
"anaerobic"	1
"anahuac"	2
"analog"	10
"analogies"	1
"analogy"	3
"analysis"	45
"analyst"	41
"analysts"	61
"analyze"	8
"analyzed"	1
"analyzing"	5
"anarchic"	1
"anastas"	1
"anathema"	1
"anatomical"	1
"anatomically"	1
"anatomy"	1
"anatsui"	1
"anc"	17
"ancestors"	2
"ancestral"	2
"ancestry"	2
"anchor"	26
"anchorage"	6
"anchored"	5
"anchoring"	4
"anchorman"	1
"anchors"	3
